true_label,predicted_label,count
gulgula,malpoya,3
chitoi,bhapa_pitha,2
bibikhana_pitha,malpoya,1
bhapa_pitha,khola_jali_pitha,1
bibikhana_pitha,nunia_pitha,1
binni_chaler_pitha,chushi_pitha,1
binni_chaler_pitha,malpoya,1
bibikhana_pitha,dudh_chitoi,1
chanamukhi,muittha_pitha,1
chushi_pitha,dudh_chitoi,1
dudh_chitoi,binni_chaler_pitha,1
dudh_chitoi,chushi_pitha,1
gulgula,mera_pitha,1
gulgula,sorbhaja,1
jhal_jamai_pitha_chapri,chushi_pitha,1
jhal_jamai_pitha_chapri,nunia_pitha,1
jhinuk_pitha,muittha_pitha,1
khejuri_pitha,chushi_pitha,1
khejuri_pitha,dudh_chitoi,1
khejuri_pitha,jhinuk_pitha,1
khejuri_pitha,muittha_pitha,1
khejuri_pitha,sorbhaja,1
malpoya,bibikhana_pitha,1
malpoya,mera_pitha,1
mera_pitha,bhapa_pitha,1
muittha_pitha,bhapa_pitha,1
muittha_pitha,dudh_chitoi,1
muittha_pitha,mera_pitha,1
narkel_puli_pitha,muittha_pitha,1
narkel_puli_pitha,nunia_pitha,1
nunia_pitha,dudh_chitoi,1
rosgoja_pitha,chanamukhi,1
rosgoja_pitha,chitoi,1
rosgoja_pitha,khejuri_pitha,1
rosgoja_pitha,narkel_puli_pitha,1
sorbhaja,khejuri_pitha,1
sotin_mochor,nunia_pitha,1
syringe_pitha,malpoya,1
syringe_pitha,rosgoja_pitha,1
taler_cone_pitha,sorbhaja,1
