true_label,predicted_label,count
gulgula,malpoya,3
bibikhana_pitha,dudh_chitoi,2
muittha_pitha,mera_pitha,2
khejuri_pitha,muittha_pitha,2
dudh_chitoi,sotin_mochor,2
nunia_pitha,jhal_jamai_pitha_chapri,2
dudh_chitoi,rosgoja_pitha,2
bhapa_pitha,dudh_chitoi,1
chitoi,rosgoja_pitha,1
binni_chaler_pitha,dim_sundori_pitha_pantowa,1
dudh_chitoi,chushi_pitha,1
dudh_chitoi,chitoi,1
chushi_pitha,syringe_pitha,1
chushi_pitha,dudh_chitoi,1
chanamukhi,mera_pitha,1
jhinuk_pitha,sorbhaja,1
jhal_jamai_pitha_chapri,nunia_pitha,1
gulgula,sorbhaja,1
khejuri_pitha,dudh_chitoi,1
khejuri_pitha,jhinuk_pitha,1
malpoya,bibikhana_pitha,1
malpoya,nunia_pitha,1
malpoya,sorbhaja,1
mera_pitha,bhapa_pitha,1
khejuri_pitha,chanamukhi,1
jhal_jamai_pitha_chapri,bibikhana_pitha,1
muittha_pitha,chitoi,1
mera_pitha,gulgula,1
narkel_puli_pitha,khejuri_pitha,1
muittha_pitha,khola_jali_pitha,1
narkel_puli_pitha,nunia_pitha,1
narkel_puli_pitha,rosgoja_pitha,1
patishapta,mera_pitha,1
rosgoja_pitha,chanamukhi,1
rosgoja_pitha,dudh_chitoi,1
rosgoja_pitha,nunia_pitha,1
sorbhaja,binni_chaler_pitha,1
sotin_mochor,bhapa_pitha,1
sotin_mochor,chitoi,1
sotin_mochor,sorbhaja,1
syringe_pitha,bhapa_pitha,1
taler_cone_pitha,nunia_pitha,1
